[0.10 - 4.76] 這個數十加持幾乎在山上我們得過好多遍這個傳承
[408.88 - 412.66] 然後跟三寶跟上師他是無別的方式
[412.92 - 416.82] 了之眾自信去念誦這個歸一寂
[416.92 - 419.22] 然後發大俗聖的心
[419.68 - 421.56] 那寂宋當中是怎麼說的
[421.88 - 425.74] 我也無邊眾本是正等覺
[425.90 - 428.68] 了之如是信發大離心
[429.28 - 431.80] 那麼他簡單的字面意思就是說
[431.92 - 434.90] 其實就是我和一些眾生
[435.14 - 438.00] 因為每一個眾生都有如來智慧得障
[438.74 - 443.04] 然後他們自信本如的如來障
[443.26 - 446.52] 就安住在如如不動的佛性當中
[446.92 - 450.02] 都有佛性本來就是正等覺
[452.74 - 455.66] 那麼了之這樣的自信以後
[455.98 - 459.04] 每個人都有智慧得障這種自信以後
[459.66 - 461.74] 發起了殊勝的菩提心
[461.92 - 464.74] 那麼也就是我們講的聖意菩提心
[464.94 - 467.92] 然後大家就種發大菩提心
[468.16 - 469.68] 前面翻譯的話
[469.98 - 473.44] 它變成七個字是說寂發殊勝菩提心
[473.60 - 476.56] 那麼它在變成五個字的時候
[476.70 - 478.16] 說到發大菩提心
[478.20 - 482.34] 這個大就是我們講大成了意的菩提心
[482.54 - 485.62] 那麼要發起這種了意的菩提心傳
[485.80 - 486.82] 那麼大家要知道
[487.18 - 490.30] 這個就是寂宋當中的規紀
[491.06 - 495.36] 那麼規紀以後要去觀想完
[495.50 - 498.90] 那麼我們開始要帶著一種觀想的方式
[499.26 - 502.99] 觀想是如何就是要想著
[502.99 - 505.04] 淪裂所設的一些萬法
[505.12 - 507.78] 不管是清淨還是不清淨的
[507.92 - 513.98] 實際上本來就是清淨的大空性
[514.06 - 517.56] 就是在這樣的大空性當中
[517.90 - 520.24] 然後會有什麼自現不滅
[520.32 - 523.02] 然後顯現出一個自地的觀想
[523.04 - 524.76] 就是有蓮花
[525.00 - 528.00] 那麼蓮花當中就是像六十四瓣
[528.42 - 531.32] 然後十六瓣這種蓮花的形狀
[531.48 - 536.08] 然後蓮花裡面出現一個月輪
[536.22 - 537.62] 然後出現月輪
[537.76 - 540.60] 在蓮花跟月輪之上
[540.72 - 545.18] 開始要觀想一個紅黃色的得字
[545.78 - 547.08] 那麼這個得字
[547.14 - 548.88] 剎那變成寶劍
[548.96 - 550.92] 也就是文殊菩薩的標誌
[552.76 - 559.18] 那這個寶劍慢慢就顯現為黃文書
[559.56 - 562.30] 黃文書在變成喪屍
[562.32 - 566.50] 在喪屍的形象顯現為法無一寶
[566.58 - 568.44] 就是我們要觀想的對景
[569.22 - 571.12] 那這個就是我們要觀想的對景
[571.32 - 574.66] 那麼這時候就是本體與文書不善
[575.60 - 577.04] 文書智慧永實
[578.20 - 579.48] 這個我無別
[579.82 - 584.56] 然後在這個巨主武光智慧營耀的
[585.30 - 587.20] 這種清靜的顯現當中
[587.22 - 590.83] 身上法無一寶就顯現為
[590.83 - 594.60] 巨主班自達的裝飾
[594.76 - 596.94] 然後它的裝飾是如何呢
[597.08 - 600.76] 大家就可以按照這個規境當中的話
[600.80 - 604.44] 它是以說法首印十者蓮花
[604.56 - 606.48] 還有金牌的寶劍
[606.58 - 607.32] 就是這樣子
[607.78 - 611.14] 也就是說像我們這樣子的說法首印
[611.26 - 616.02] 然後右手在這個過程當中有蓮花
[616.06 - 617.50] 蓮花上面有金牌
[617.56 - 620.54] 然後這個有金牌
[620.56 - 622.22] 然後左手是拿著
[622.82 - 624.50] 右手拿著寶劍
[624.72 - 628.76] 然後以金剛家夫做的方式而按住
[628.90 - 629.86] 要按住
[630.16 - 632.55] 那帶著這種方式我們就
[632.55 - 633.60] 巨主眾觀想
[633.74 - 634.84] 然後開始
[635.30 - 637.90] 這個就聲援次第的總先觀想
[638.30 - 639.12] 觀想以後
[639.22 - 642.28] 跟著儀鬼的方式來念授
[642.46 - 644.74] 這個把無一寶的這個
[644.74 - 647.00] 述實加持的這個祈禱文
[647.18 - 648.84] 然後它的原文是這樣子
[648.84 - 657.11] 《倫念諸法,穩靜覺性中,自信無滅智慧武光界》
[657.11 - 662.36] 《文體據德文書金剛君,形象唯一枯主由一寶》
[662.48 - 664.90] 《白明美言班自達之事》
[666.76 - 676.12] 《說法首印直實寶劍涵,惡足家夫應造色無邊光,一切自現光為靜明陽》
[676.34 - 679.48] 那這裡的字面的意思就是說這個阿字
[679.70 - 683.74] 阿字就是指說一些萬法都是無聲大空性
[684.32 - 687.04] 那這個無聲大空性就是我們
[687.14 - 690.94] 據主宗觀想就是在字的頭頂上方
[691.10 - 692.88] 然後在虛空當中
[693.00 - 695.78] 然後開始這個顯現為什麼
[695.94 - 696.70] 下面就說
[697.14 - 702.44] 《倫念諸法,穩靜覺性中,自信不滅智慧武光界》
[702.52 - 703.93] 這個就是我們講的
[703.93 - 705.44] 懂得人的話他就會明白
[705.94 - 707.72] 這個就傳述新的本性
[708.24 - 711.90] 那麼這個倫念就是輪迴跟涅槃
[712.02 - 716.14] 然後諸法就是說輪迴涅槃所設的一些萬法
[716.72 - 722.12] 它本來就是清淨的覺性
[722.26 - 726.68] 或者是本來是清淨的大空性當中
[727.48 - 728.62] 然後在空性
[729.00 - 734.78] 這個空性裡面並不是像什麼都沒有的單空
[734.80 - 735.43] 那樣子
[735.43 - 736.50] 而是還有什麼
[737.00 - 738.76] 本來清淨的顯現
[738.90 - 741.07] 本來清淨的顯現是有哪些呢
[741.07 - 743.72] 它有這個我們講的說這個
[744.90 - 745.94] 光明的顯現
[745.98 - 747.46] 或者是智慧的顯現
[747.72 - 749.34] 那這個光明的顯現
[749.38 - 751.74] 它是自信不滅的
[751.82 - 755.33] 它這個自信不滅並不是說我們所認為的
[755.33 - 756.98] 一直恒常不變
[757.00 - 760.36] 而是在超離我們的分別念的基礎上
[760.66 - 765.76] 有這種自信不滅的智慧傳
[766.00 - 768.94] 那麼這個智慧又是什麼
[769.06 - 770.14] 清淨的自信
[770.42 - 772.12] 然後呢這種這個
[774.00 - 775.66] 在這個自信當中
[775.88 - 778.28] 然後呢要去組一種特點是什麼
[778.70 - 780.70] 雖然說前面講本來覺性
[780.76 - 782.24] 然後呢自信不滅
[782.38 - 783.56] 那麼就是說什麼
[783.74 - 787.44] 在萬法的這個本來是大空性跟
[789.20 - 792.44] 這個光明的自信智慧當中
[792.44 - 794.59] 兩者是我無別的
[794.59 - 797.14] 這種雙韻的智慧呢
[797.14 - 799.54] 這種本性當中呢有這個什麼
[800.54 - 803.06] 顯現出這種五光界
[803.22 - 805.06] 這個智慧的五光界傳
[805.20 - 806.88] 這個智慧的五光界呢
[807.82 - 811.48] 是佛性中本性俱足的
[811.76 - 813.86] 然後呢是不滅的智慧
[814.02 - 816.28] 這個呢就是我們講的顯現出
[816.76 - 818.02] 這個五光界
[818.06 - 819.70] 就是第一第二句當中
[819.72 - 821.56] 簡單的字面意思就是這樣子
[822.22 - 825.20] 那麼這個本性自信界當中的話
[825.46 - 826.76] 大家要知道並
[827.58 - 829.98] 如果有知道的話就是
[830.82 - 831.94] 如果不明白呢
[831.96 - 834.88] 大家呢可以稍稍的觀觀一下自的心
[835.14 - 836.70] 然後呢我們講說
[836.86 - 838.30] 神而不得嘛
[838.34 - 839.90] 唯殊聖之見
[840.12 - 842.46] 然後呢這個見並不是我們講的
[842.46 - 843.64] 這個當空
[843.84 - 845.24] 並不是我們講的這種
[847.54 - 850.64] 就是大家所講的這種當空當中嘛
[850.96 - 852.36] 然後呢這個
[853.12 - 856.13] 就是慢慢的去對這種關心呢
[856.13 - 858.40] 要有一個聖解
[858.48 - 860.04] 帶著這種方式嘛
[860.04 - 862.78] 然後呢去觀想
[862.96 - 864.56] 然後呢我們講說
[867.36 - 867.38] 這個
[867.54 - 871.76] 如果有一定的這個分別
[871.88 - 873.96] 有一定的喪失的止止的話
[874.96 - 875.64] 就是我們講說
[875.64 - 881.12] 在安住外境無自信的分別念當中
[881.68 - 886.54] 在外原境無自信的這種理想
[887.58 - 890.38] 那麼我們不要去特意的去對峙
[890.50 - 892.16] 然後呢反觀一下心
[892.50 - 893.70] 心念從哪裡來
[893.76 - 894.76] 然後住在哪裡
[894.94 - 896.84] 去到哪裡的這種方式
[898.62 - 898.64] 這個
[898.64 - 899.90] 有事的去觀察
[899.96 - 901.12] 然後呢發現
[901.30 - 902.44] 存而不得嘛
[902.60 - 904.44] 然後呢就對這種
[906.50 - 907.60] 如虛空般的
[907.60 - 908.60] 融入虛空的
[908.60 - 909.56] 空空的這種
[910.46 - 912.28] 自信呢要有一個斷定以後
[912.38 - 913.94] 大概就是這個意思了
[914.06 - 915.88] 然後呢在這種基礎上
[916.20 - 919.78] 我們能這個認識多少就安住多少
[920.00 - 922.16] 那麼這裡就是簡單的講到
[922.26 - 924.50] 這個智慧無光界當中的
[924.50 - 927.04] 法身暴身化身的這種體性嘛
[927.48 - 929.20] 那麼在這種體性當中呢
[929.24 - 930.84] 開始就顯現出
[930.96 - 932.56] 一鬼就是這樣子
[932.74 - 933.58] 前面呢就是說
[933.68 - 935.56] 文體俱得
[935.68 - 937.56] 文書金剛君
[937.84 - 938.20] 好
[938.46 - 942.04] 那麼這個形象唯一枯燭如一寶
[942.22 - 944.34] 那麼這裡就是說在前面嘛
[944.42 - 945.66] 然後呢有這個
[946.02 - 946.54] 蓮花
[946.62 - 949.00] 蓮花上面顯現著這個月輪
[949.04 - 950.44] 月輪變成了寶劍
[950.44 - 952.22] 寶劍成了
[952.26 - 953.16] 黃文書
[953.26 - 954.40] 那麼這個就是
[954.50 - 955.88] 文體俱得
[955.88 - 957.26] 文書金剛君
[957.38 - 959.44] 他的形象是怎麼樣子呢
[959.46 - 961.70] 就是唯一枯燭如一寶
[961.76 - 963.12] 就是我們講的
[963.34 - 964.90] 法無一寶的樣子
[965.06 - 967.62] 法無一寶的這個班茲達的這個樣子
[968.10 - 969.58] 然後呢他的膚色
[970.68 - 971.08] 是什麼
[971.22 - 974.02] 白明美顏班茲達之色
[974.28 - 977.78] 就是說是膚色是潔白明亮
[978.02 - 980.18] 然後呢是很莊嚴的
[980.24 - 983.24] 就美顏很莊嚴的這種班茲達裝飾
[983.38 - 984.86] 然後呢他穿的是什麼
[985.14 - 986.48] 黃色的這種
[987.38 - 988.68] 鎧甲那個
[989.20 - 990.92] 這個我們講的這個
[991.70 - 992.94] 黃色的形象嘛
[992.94 - 994.22] 有那個照片就好了
[995.08 - 997.04] 對然後呢大概就是
[997.52 - 999.02] 應該有那個印
[999.20 - 1000.98] 就是這樣的一個裝飾
[1001.06 - 1004.60] 大家去看著他的這種形式嘛
[1004.84 - 1006.14] 形式然後呢
[1006.42 - 1010.04] 這個下面是說說法手印直十寶劍行
[1010.16 - 1013.34] 就是雙者三法一比九的形象
[1013.52 - 1015.12] 帶著班茲達的帽
[1015.18 - 1016.84] 帶著班茲達的帽
[1016.94 - 1019.92] 那這個呢就是我們講的家夫而作
[1020.06 - 1020.82] 然後呢
[1020.92 - 1022.00] 開始是什麼呢
[1022.04 - 1025.34] 二足家夫造色無邊觀
[1025.48 - 1027.92] 一切自現光為敬明陽
[1028.18 - 1030.10] 就是要家夫而作
[1030.24 - 1032.42] 放射出無量無邊的光明
[1032.56 - 1034.86] 這個就是觀想歸盡了
[1035.14 - 1036.49] 那所有的自現呢
[1036.49 - 1038.96] 他就是本來清淨的嘛
[1039.04 - 1040.02] 然後呢在這種
[1041.20 - 1042.84] 明陽坦陽
[1042.92 - 1044.72] 清清陽的基礎上
[1044.78 - 1046.22] 然後呢顯現為
[1046.82 - 1050.24] 這個我們講的凡微寶
[1050.34 - 1053.70] 然後呢大家就去主動方式去觀想
[1054.10 - 1056.50] 那麼這個觀想呢注意好
[1056.86 - 1057.78] 觀相處
[1057.78 - 1059.28] 觀清楚是最好的
[1059.46 - 1060.68] 那觀不清楚的話
[1061.00 - 1062.30] 我們講說有的人
[1062.46 - 1065.60] 每個人的這種能力不一樣
[1065.74 - 1066.74] 那麼這個
[1066.84 - 1068.78] 或者是有些人怎麼觀也
[1068.88 - 1069.66] 觀不清楚
[1069.96 - 1071.00] 那麼我們講說
[1071.20 - 1073.18] 你們不要這些都不要緊
[1073.30 - 1073.90] 你就反
[1074.08 - 1075.12] 就有一個是什麼
[1075.66 - 1077.02] 你知道觀想上是
[1077.10 - 1079.16] 住在我的頭頂上
[1079.22 - 1081.02] 居住這種聖節就可以
[1081.66 - 1083.28] 然後反正他住在這
[1083.42 - 1086.22] 然後呢這個就是要有這種確信
[1087.62 - 1089.36] 這是在祈禱念書上
[1089.36 - 1090.38] 是瑜伽的時候呢
[1090.38 - 1092.02] 是很重要的
[1092.38 - 1093.88] 如果我們觀了很清楚
[1093.98 - 1096.06] 你就覺得就觀一個形象
[1096.20 - 1099.96] 有一個這個要有這種信心
[1100.08 - 1102.54] 然後呢就是強調的
[1102.68 - 1104.14] 這個上士瑜伽
[1104.20 - 1105.20] 就是在這裡的時候
[1105.20 - 1106.84] 就強調這個信心的
[1106.94 - 1109.68] 那麼如果我們這個
[1110.48 - 1111.52] 實在觀不出來
[1111.82 - 1113.38] 那麼也不用特別
[1114.00 - 1119.48] 這個我們講說特別的傷心
[1119.74 - 1122.10] 然後呢你就觀想上士住在這裡
[1122.20 - 1124.24] 或是說觀想上士的面有
[1124.46 - 1126.54] 或者觀想一團光在上面
[1127.12 - 1128.98] 然後大概模糊的樣子也可以
[1129.20 - 1130.12] 但是關鍵的
[1130.12 - 1133.48] 你要真正的要有一種信心是什麼
[1133.74 - 1136.48] 上士住是在我們的頭頂上安住
[1136.92 - 1137.98] 他跟佛一樣
[1138.54 - 1140.72] 然後呢真實的上士是具有
[1140.78 - 1141.64] 智慧的上士
[1141.68 - 1144.64] 實際上呢這些外在內在當中
[1144.64 - 1147.94] 要去主動確信他住在這兒
[1147.94 - 1150.20] 佛一樣的上士他住在這兒
[1150.24 - 1152.60] 然後呢去住這種聖節
[1152.82 - 1155.32] 然後呢帶著這種聖節的時候呢
[1155.34 - 1156.54] 觀為靜冥陽
[1156.66 - 1160.24] 然後在此當中就是這個
[1161.02 - 1162.02] 開始祈禱
[1162.34 - 1163.50] 如果實在觀不了
[1163.72 - 1164.69] 那怎麼辦呢
[1164.69 - 1165.72] 就是觀想
[1165.88 - 1168.84] 你跟這個念誦
[1168.98 - 1170.64] 觀想上士的時候呢
[1171.36 - 1172.76] 你就他的以前的所作
[1172.82 - 1175.60] 或者說你怎麼聽他的法得到受益
[1175.94 - 1177.51] 在這個過程當中
[1177.51 - 1179.52] 你去這個我們講的說
[1181.76 - 1183.50] 他在下面就是
[1185.52 - 1187.12] 就是你要想著上士
[1187.18 - 1188.52] 然後呢慢慢流淚
[1188.58 - 1190.00] 然後呢想他的所作
[1190.04 - 1191.98] 你聽他的法怎麼得受益
[1192.18 - 1194.22] 這樣的方式去祈禱也可以
[1194.48 - 1195.14] 就是這樣子
[1195.30 - 1200.02] 然後呢帶著這種聖節戲碼
[1200.12 - 1201.88] 然後呢去祈禱
[1202.02 - 1203.48] 去念誦他的祈禱文
[1203.62 - 1205.16] 這個呢就很重要
[1205.64 - 1209.04] 那麼到底是觀為上士的樣子呢
[1209.04 - 1210.94] 還是觀為本尊的樣子
[1211.22 - 1212.46] 那麼每一個儀軌呢
[1212.46 - 1216.38] 他有不同的方式
[1216.64 - 1221.10] 但此處主要是觀想法王玉寶的形象
[1221.26 - 1224.74] 然後呢本體為本尊的形象
[1224.96 - 1226.59] 那麼這個時候呢
[1226.59 - 1229.82] 如果你有不同的這個儀軌方式
[1229.96 - 1233.30] 說如果你對著上士信心特別大
[1233.70 - 1236.24] 這樣可以直接觀為上士
[1237.24 - 1240.25] 當然這個對上士不大的時候呢
[1240.25 - 1241.96] 也觀為上士也可以
[1242.20 - 1244.46] 那麼觀為本尊也可以
[1244.82 - 1247.60] 因為本尊的形象顯現上是清淨的
[1247.62 - 1249.34] 他也是佛的化現
[1249.50 - 1251.84] 是文殊菩薩觀音菩薩的化現
[1252.00 - 1254.14] 那麼觀為本尊的形象
[1254.30 - 1255.58] 那這個時候呢
[1256.18 - 1258.70] 但是呢你這時候要轉變成什麼
[1258.76 - 1259.24] 他的本
[1260.22 - 1261.48] 我們本體作為上士
[1261.60 - 1262.64] 形象為本尊
[1262.72 - 1263.28] 這樣可以
[1263.78 - 1264.88] 但主要是什麼
[1265.28 - 1268.00] 這裡的儀軌要求就是
[1268.24 - 1270.18] 本體為文殊菩薩
[1270.38 - 1272.98] 顯現為上士的形象
[1273.56 - 1277.71] 因為這個在顯現為上士的目的呢
[1277.71 - 1280.38] 就是我們聽聞過他的教法
[1280.62 - 1282.40] 親自見過他的面容
[1282.58 - 1286.54] 並且視現為苦樂參半的樣子
[1286.72 - 1288.60] 然後這樣的方式跟我們
[1288.92 - 1290.58] 更容易去相應
[1290.88 - 1294.44] 並且是長期聽聞他的這種教練的緣故
[1294.80 - 1297.20] 那麼以此的方式去祈禱
[1297.42 - 1298.44] 去念書的時候
[1298.60 - 1301.00] 更容易可以獲得成就
[1301.10 - 1301.76] 就是這樣子
[1302.38 - 1304.22] 所以說此書的目的就是
[1304.86 - 1306.68] 說按儀軌的要求
[1306.82 - 1309.70] 我們在念書的時候就這麼去觀就行了
[1309.86 - 1310.96] 不需要隨便的改
[1311.20 - 1312.14] 也沒有這個必要
[1312.66 - 1313.90] 那麼這麼觀想
[1314.04 - 1317.10] 上士就前面的這種儀軌的方式
[1317.16 - 1319.26] 安住在前方的虛空中
[1319.74 - 1321.28] 然後下面就開始
[1321.46 - 1322.98] 一心一意的念書
[1323.06 - 1324.48] 上師祈禱文
[1325.22 - 1327.30] 那麼上師的祈禱文當中的話
[1327.78 - 1328.54] 因為很短
[1328.72 - 1330.16] 大家也容易背誦
[1330.20 - 1331.16] 然後也可以改
[1331.24 - 1332.64] 就是他這裡就說
[1333.06 - 1335.90] 自大聖慶五台山
[1335.94 - 1338.00] 文書加持永祿心
[1338.42 - 1340.46] 祈禱精美彭碩尊
[1340.64 - 1341.50] 正物
[1342.08 - 1345.28] 一傳加持得正物
[1345.66 - 1347.18] 那麼這個祈禱文
[1348.68 - 1350.70] 它就是上士儀軌當中的核心
[1350.82 - 1352.56] 就是要以信心
[1353.86 - 1356.54] 聖解心的方式去念誦
[1356.66 - 1357.84] 這個祈禱文
[1358.40 - 1359.42] 那麼這裡的話
[1359.88 - 1361.56] 就是自大聖慶五台山
[1362.36 - 1363.44] 就是這個大聖慶
[1363.50 - 1364.52] 就是我們講的
[1364.52 - 1366.74] 南占部周的五個聖慶中
[1367.10 - 1369.74] 東方的聖慶指的就是五台山
[1370.00 - 1372.80] 也就是文書菩薩真實安住的地方
[1373.98 - 1376.04] 在比如說大家有機會去看的話
[1376.96 - 1380.62] 那個東台望海寺下方再往下走
[1380.70 - 1382.52] 就有那個納羅言窟
[1382.66 - 1384.88] 然後文書菩薩跟他的眷所
[1385.00 - 1387.92] 長年在那裡弘揚大成的法門
[1388.02 - 1389.94] 就是真實安住就在那裡
[1389.94 - 1390.88] 就五台山
[1390.98 - 1393.22] 那麼這個就是自大聖慶五台山
[1393.74 - 1396.08] 那文書加持永祿心就是
[1396.42 - 1397.96] 文書菩薩的加持
[1398.10 - 1400.96] 已經融入到心間的聖者
[1401.46 - 1403.92] 特質的就是法王威保
[1404.44 - 1406.52] 從他的文書大滿的著作
[1406.72 - 1409.36] 跟前面給大家念誦的祈禱文當中
[1409.62 - 1411.42] 已經心稀的了之這一點
[1411.78 - 1413.42] 特質的就是法王威保
[1414.12 - 1416.38] 好那麼這個祈禱法王威保
[1416.40 - 1417.58] 由後面說什麼
[1418.04 - 1420.66] 這個說要意傳加持
[1420.72 - 1422.56] 就是說上師的意
[1423.14 - 1424.82] 所證悟的境界
[1424.90 - 1425.78] 通過什麼
[1426.60 - 1428.26] 這個滿平親切
[1428.30 - 1431.36] 或者說以相互傳遞的方式
[1431.64 - 1433.76] 然後這個融入到
[1434.00 - 1437.00] 我作為祈禱者的相序當中
[1437.44 - 1440.60] 就是上師的心中所證悟的
[1442.72 - 1443.48] 這個智慧
[1443.54 - 1447.26] 或者說大滿的這種決心的智慧
[1447.48 - 1448.22] 然後呢
[1448.88 - 1451.76] 這個滿平親切的傳遞到
[1452.02 - 1454.68] 我的心相序當中
[1455.02 - 1456.06] 那這時候呢
[1456.06 - 1458.98] 我心中完全具足
[1459.64 - 1460.98] 心的自信念
[1460.98 - 1464.24] 完全跟上師的意智慧
[1465.20 - 1466.32] 是無二無別的
[1466.42 - 1471.22] 那麼這個就是日傳加持得證悟
[1471.40 - 1474.30] 然後日傳加持的證悟的目的
[1475.08 - 1477.78] 也就是說所有的祈禱當中
[1478.06 - 1479.42] 所有的加持當中
[1479.50 - 1480.10] 你必須要
[1480.16 - 1480.98] 我們前面講
[1481.54 - 1482.60] 你要修行法
[1482.70 - 1484.44] 你必須要修行正法
[1484.82 - 1485.41] 然後呢
[1485.41 - 1486.92] 正法的來源一加持
[1487.04 - 1489.64] 而加持的來源唯一依靠上師
[1490.06 - 1491.66] 那麼解脫唯一什麼
[1491.70 - 1493.16] 就是仰賴上師
